Datum,Vsebina,label,score
2022-08-03,Absolutely love these sandals! They're so elegant and surprisingly comfortable.,POSITIVE,0.9998863935470581
2022-07-30,Comfortable and sturdy. Perfect for outdoor adventures.,POSITIVE,0.9998775720596313
2022-07-22,Absolutely delicious! The orange flavor is my favorite.,POSITIVE,0.9998788833618164
2022-07-20,Very happy with my purchase. These shoes provide good support for my morning jogs.,POSITIVE,0.9998735189437866
2022-07-20,"Bought these for my son's birthday, and they were the star of the party. Great shoes!",POSITIVE,0.9998519420623779
2022-07-18,"These sandals look great, but they're a bit tight. Maybe they'll stretch over time.",NEGATIVE,0.9382973313331604
2022-07-15,"Love this Cat Ear Beanie! It's so cute and surprisingly warm. The material is so soft, and the cat ears are a nice touch!",POSITIVE,0.9998829364776611
2022-07-10,I love the classic design of these sneakers. They match well with my outfits. The leather is of top quality.,POSITIVE,0.9998236298561096
2022-07-01,"Great shoes for running! Comfortable and stylish, with excellent traction.",POSITIVE,0.999876856803894
2022-07-01,My daughter loves these shoes! She doesn't want to take them off. They're comfortable and the lights are a big hit.,POSITIVE,0.9996999502182007
2022-06-15,These boots are fantastic for hiking. The grip on the soles is really good.,POSITIVE,0.9998427629470825
2022-06-15,"These shoes are not only stylish, but also super comfortable. They're perfect for any occasion!",POSITIVE,0.9998685121536255
2022-06-12,Stylish and comfortable! I love the strappy design.,POSITIVE,0.9998836517333984
